cite1,cite2,n
"Jodoin, MG, 2001, APPL MEAS EDUC, V14, P329, DOI 10.1207/S15324818AME1404_2","Narayanan, P, 1994, APPL PSYCH MEAS, V18, P315, DOI 10.1177/014662169401800403",15
"Jodoin, MG, 2001, APPL MEAS EDUC, V14, P329, DOI 10.1207/S15324818AME1404_2","Thissen, D, 1988, TEST VALIDITY, P147",15
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","SCHWARZ G, 1978, ANN STAT, V6, P461, DOI 10.1214/AOS/1176344136",15
"Kline, RB, 2016, PRINCIPKLES PRACTICE","Muthen, LK, 2018, MPLUS 7 USERS GUIDE",15
"Leighton, JP, 2004, J EDUC MEAS, V41, P205, DOI 10.1111/J.1745-3984.2004.TB01163.X","Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545",15
"Lord, FM, 2008, STAT THEORIES MENT","van der Linden, WJ, 2016, HDB MODERN ITEM RESP",15
"Lord, FM, 2008, STAT THEORIES MENT","Yen, WM, 1984, APPL PSYCH MEAS, V8, P125, DOI 10.1177/014662168400800201",15
"Macready, GB, 1977, J EDUC STATIST, V2, P99, DOI DOI 10.3102/10769986002002099","Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535",15
"Macready, GB, 1977, J EDUC STATIST, V2, P99, DOI DOI 10.3102/10769986002002099","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",15
"Macready, GB, 1977, J EDUC STATIST, V2, P99, DOI DOI 10.3102/10769986002002099","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",15
"Mantel, N, 1959, J NATL CANCER I, V22, P719","Rogers, HJ, 1993, APPL PSYCH MEAS, V17, P105, DOI 10.1177/014662169301700201",15
"Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535","Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545",15
"Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535","Tatsuoka, KK, 1990, DIAGNOSTIC MONITORING OF SKILL AND KNOWLEDGE ACQUISITION, P453",15
"Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272","Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146",15
"Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272","Spiegelhalter, DJ, 2002, J ROY STAT SOC B, V64, P583, DOI 10.1111/1467-9868.00353",15
"Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272","Thissen, D, 1989, J EDUC MEAS, V26, P161, DOI 10.1111/J.1745-3984.1989.TB00326.X",15
"Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272","Wainer, H, 1987, J EDUC MEAS, V24, P185, DOI 10.1111/J.1745-3984.1987.TB00274.X",15
"Millsap, RE, 1993, APPL PSYCH MEAS, V17, P297, DOI 10.1177/014662169301700401","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",15
"Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206","R Core, TEAM, 2019, LANG ENV STAT COMP",15
"Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206","Reckase, MD, 2009, STAT SOC BEHAV SC, P1, DOI 10.1007/978-0-387-89976-3_1",15
"Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206","Warm, TA, 1989, PSYCHOMETRIKA, V54, P427, DOI 10.1007/BF02294627",15
"Muthen, LK, 2018, MPLUS 7 USERS GUIDE","R Development Core, TEAM, 2017, LANG ENV STAT COMP",15
"R Core, TEAM, 2019, LANG ENV STAT COMP","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",15
"R Core, TEAM, 2019, LANG ENV STAT COMP","Warm, TA, 1989, PSYCHOMETRIKA, V54, P427, DOI 10.1007/BF02294627",15
"Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403","Wang, WC, 2003, APPL PSYCH MEAS, V27, P479, DOI 10.1177/0146621603259902",15
"Reckase, MD, 1985, APPL PSYCH MEAS, V9, P401, DOI 10.1177/014662168500900409","Reckase, MD, 2009, STAT SOC BEHAV SC, P1, DOI 10.1007/978-0-387-89976-3_1",15
"Reckase, MD, 1985, APPL PSYCH MEAS, V9, P401, DOI 10.1177/014662168500900409","Segall, DO, 1996, PSYCHOMETRIKA, V61, P331, DOI 10.1007/BF02294343",15
"Rogers, HJ, 1993, APPL PSYCH MEAS, V17, P105, DOI 10.1177/014662169301700201","Zumbo, BD, 1999, HDB THEORY METHODS D",15
"RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME","Tatsuoka, KK, 1990, DIAGNOSTIC MONITORING OF SKILL AND KNOWLEDGE ACQUISITION, P453",15
"Rupp, AA, 2008, MEAS-INTERDISCIP RES, V6, P219, DOI 10.1080/15366360802490866","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",15
"Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17","Wright, BD, 1982, RATING SCALE ANAL",15
"Thissen, D, 1989, J EDUC MEAS, V26, P161, DOI 10.1111/J.1745-3984.1989.TB00326.X","Thissen, DAVID, 1996, ED MEASUREMENT ISSUE, V15, P22, DOI DOI 10.1111/J.1745-3992.1996.TB00803.X",15
"Veldkamp, BP, 2002, PSYCHOMETRIKA, V67, P575, DOI 10.1007/BF02295132","Wang, C, 2011, PSYCHOMETRIKA, V76, P13, DOI 10.1007/S11336-010-9186-0",15
"Agresti, A, 2013, CATEGORIACAL DATA AN","Bock, RD, 1972, PSYCHOMETRIKA, V37, P29",14
"Agresti, A, 2013, CATEGORIACAL DATA AN","Rasch, GEORG, 1993, PROBABILISITIC MODEL",14
"American Psychological, ASSOCIATION, 2010, PUBL MAN AM PSYCH AS","Schmidt, FL, 1996, PSYCHOL METHODS, V1, P115, DOI 10.1037/1082-989X.1.2.115",14
"Baker, FB, 2004, ITEM RESPONSE THEORY","Dempster, AP, 1977, J ROY STAT SOC B MET, V39, P1",14
"Baker, FB, 2004, ITEM RESPONSE THEORY","Rasch, GEORG, 1993, PROBABILISITIC MODEL",14
"Bentler, PM, 1980, PSYCHOL BULL, V88, P588, DOI 10.1037/0033-2909.107.2.238","Bentler, PM, 2015, EQS",14
"Bentler, PM, 2015, EQS","Henson, RK, 2001, MEAS EVAL COUNS DEV, V34, P177, DOI 10.1080/07481756.2002.12069034",14
"Bentler, PM, 2015, EQS","Nunnally, JC, 1995, PSYCHOMETRIC THEORY",14
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Dempster, AP, 1977, J ROY STAT SOC B MET, V39, P1",14
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Gelman, A, 2014, AYESIAN DATA ANAL",14
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Holland, PW, 2012, DIFFERENTIAL ITEM F",14
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",14
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Wang, WC, 2003, APPL PSYCH MEAS, V27, P479, DOI 10.1177/0146621603259902",14
"Bock, RD, 1970, PSYCHOMETRIKA, V35, P179","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",14
"Bock, RD, 1972, PSYCHOMETRIKA, V37, P29","Mislevy, RL, 1997, BILOG 3 ITEM ANAL TE",14
"Bock, RD, 1972, PSYCHOMETRIKA, V37, P29","R Core, TEAM, 2019, LANG ENV STAT COMP",14
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Thissen, D, 1986, PSYCHOMETRIKA, V51, P567, DOI 10.1007/BF02295596",14
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Thissen, D, 1988, TEST VALIDITY, P147",14
"Bollen, KA, 2014, STRUCRURAL EQUATIONS","Cronbach, LJ, 1951, PSYCHOMETRIKA, V16, P167",14
"Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",14
"Browne, MW, 1993, TESTING STRUCTURAL E, P132, DOI DOI 10.1177/0049124192021002005","Byrne, BM, 2013, STRUCTURAL EQUATING",14
"Chang, HH, 1996, APPL PSYCH MEAS, V20, P213, DOI 10.1177/014662169602000303","Mulder, J, 2009, PSYCHOMETRIKA, V74, P273, DOI 10.1007/S11336-008-9097-5",14
"Chang, HH, 1996, APPL PSYCH MEAS, V20, P213, DOI 10.1177/014662169602000303","Wang, C, 2011, PSYCHOMETRIKA, V76, P13, DOI 10.1007/S11336-010-9186-0",14
"Chen, WH, 1997, J EDUC BEHAV STAT, V22, P265, DOI 10.2307/1165285","Lord, FM, 2008, STAT THEORIES MENT",14
"Cheng, Y, 2009, PSYCHOMETRIKA, V74, P619, DOI 10.1007/S11336-009-9123-2","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",14
"Cheung, GW, 2002, STRUCT EQU MODELING, V9, P233, DOI 10.1207/S15328007SEM0902_5","Cohen, JW, 1997, STAT POWER ANAL BEHA",14
"Cheung, GW, 2002, STRUCT EQU MODELING, V9, P233, DOI 10.1207/S15328007SEM0902_5","Fan, XT, 2001, EDUC PSYCHOL MEAS, V61, P517, DOI 10.1177/00131640121971365",14
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",14
"Clauser, BE, 1993, APPL MEAN EDUC, V6, P269, DOI [10.1207/S15324818AME0604_2, DOI 10.1207/S15324818AME0604_2]","Rogers, HJ, 1993, APPL PSYCH MEAS, V17, P105, DOI 10.1177/014662169301700201",14
"Clauser, BE, 1993, APPL MEAN EDUC, V6, P269, DOI [10.1207/S15324818AME0604_2, DOI 10.1207/S15324818AME0604_2]","Thissen, D, 1988, TEST VALIDITY, P147",14
"Clauser, BE, 1998, ED MEASUREMENT ISSUE, V17, P31, DOI DOI 10.1111/J.1745-3992.1998.TB00619.X","Dorans, NJ, 1993, DIFFERENTIAL ITEM FU, P35",14
"Clauser, BE, 1998, ED MEASUREMENT ISSUE, V17, P31, DOI DOI 10.1111/J.1745-3992.1998.TB00619.X","Zieky, M, 1993, DIFFERENTIAL ITEM FU, P337",14
"Cohen, JW, 1997, STAT POWER ANAL BEHA","Muthen, LK, 2018, MPLUS 7 USERS GUIDE",14
"Crocker, L, 2008, INTRO CLASSICAL MODE","Cronbach, LJ, 1951, PSYCHOMETRIKA, V16, P167",14
"Crocker, L, 2008, INTRO CLASSICAL MODE","Mcdonald, RP, 1999, TEST THEORY UNIFED A",14
"De Boeck, P, 2004, EXPLANATORY ITEM RES","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",14
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Henson, R, 2005, APPL PSYCH MEAS, V29, P262, DOI 10.1177/0146621604272623",14
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Liu, JC, 2012, APPL PSYCH MEAS, V36, P548, DOI 10.1177/0146621612456591",14
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Rupp, AA, 2008, MEAS-INTERDISCIP RES, V6, P219, DOI 10.1080/15366360802490866",14
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","Macready, GB, 1977, J EDUC STATIST, V2, P99, DOI DOI 10.3102/10769986002002099",14
"de la Torre, J, 2010, J EDUC MEAS, V47, P115, DOI 10.1111/J.1745-3984.2009.00102.X","Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5",14
"Decarlo, LT, 2011, APPL PSYCH MEAS, V35, P8, DOI 10.1177/0146621610377081","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",14
"Dempster, AP, 1977, J ROY STAT SOC B MET, V39, P1","Geman, S, 1984, IEEE T PATTERN ANAL, V6, P721, DOI 10.1109/TPAMI.1984.4767596",14
"Dempster, AP, 1977, J ROY STAT SOC B MET, V39, P1","Lord, FM, 2008, STAT THEORIES MENT",14
"Dempster, AP, 1977, J ROY STAT SOC B MET, V39, P1","Rasch, GEORG, 1993, PROBABILISITIC MODEL",14
"Dibello, LV, 1995, COGNITIVELY DIAGNOST, P327","Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535",14
"Dibello, LV, 2007, HANDB STAT, V26, P979, DOI 10.1016/S0169-7161(06)26031-0","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",14
"Dibello, LV, 2007, HANDB STAT, V26, P979, DOI 10.1016/S0169-7161(06)26031-0","von Davier, M, 2008, BRIT J MATH STAT PSY, V61, P287, DOI 10.1348/000711007X193957",14
"Dorans, NJ, 1993, DIFFERENTIAL ITEM FU, P35","Roussos, LA, 1996, J EDUC MEAS, V33, P215, DOI 10.1111/J.1745-3984.1996.TB00490.X",14
"Dorans, NJ, 1993, DIFFERENTIAL ITEM FU, P35","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",14
"Dorans, NJ, 1993, DIFFERENTIAL ITEM FU, P35","Zumbo, BD, 1999, HDB THEORY METHODS D",14
"Drasgow, F, 1985, BRIT J MATH STAT PSY, V38, P67, DOI 10.1111/J.2044-8317.1985.TB00817.X","R Core, TEAM, 2019, LANG ENV STAT COMP",14
"Embretson, SE, 2000, ITEM RESONSE THEORY","Mcdonald, RP, 1999, TEST THEORY UNIFED A",14
"Embretson, SE, 2000, ITEM RESONSE THEORY","Reckase, MD, 2009, STAT SOC BEHAV SC, P1, DOI 10.1007/978-0-387-89976-3_1",14
"Gelman, A, 1992, STAT SCI, V7, P472, DOI [DOI 10.1214/SS/1177011136, 10.1214/SS/1177011136]","SCHWARZ G, 1978, ANN STAT, V6, P461, DOI 10.1214/AOS/1176344136",14
"Gelman, A, 2014, AYESIAN DATA ANAL","Hambleton, RK, 2000, ITEM RESPONE THEORY",14
"Gelman, A, 2014, AYESIAN DATA ANAL","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",14
"Glas, CAW, 2003, APPL PSYCH MEAS, V27, P217, DOI 10.1177/0146621603027003003","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",14
"Hambleton, RK, 1995, FUNAMENTALS ITEM RES","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",14
"Hambleton, RK, 1995, FUNAMENTALS ITEM RES","van der Linden, WJ, 2016, HDB MODERN ITEM RESP",14
"Henson, R, 2005, APPL PSYCH MEAS, V29, P262, DOI 10.1177/0146621604272623","Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535",14
"Henson, R, 2005, APPL PSYCH MEAS, V29, P262, DOI 10.1177/0146621604272623","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",14
"Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5","Liu, JC, 2012, APPL PSYCH MEAS, V36, P548, DOI 10.1177/0146621612456591",14
"Henson, RK, 2001, MEAS EVAL COUNS DEV, V34, P177, DOI 10.1080/07481756.2002.12069034","Vandenberg, RJ, 2000, ORGAN RES METHODS, V3, P4, DOI 10.1177/109442810031002",14
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Thissen, D, 1986, PSYCHOL BULL, V99, P118, DOI 10.1037/0033-2909.99.1.118",14
"Holland, PW, 2012, DIFFERENTIAL ITEM F","Rasch, GEORG, 1993, PROBABILISITIC MODEL",14
"Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118","Joreskog, KG, 1971, PSYCHOMETRIKA, V36, P109, DOI 10.1007/BF02291393",14
"Kirk, RE, 1996, EDUC PSYCHOL MEAS, V56, P746, DOI 10.1177/0013164496056005002","Schmidt, FL, 1996, PSYCHOL METHODS, V1, P115, DOI 10.1037/1082-989X.1.2.115",14
"Linacre, JM, 1994, MANY FACET RASCH MEA","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",14
"Liu, JC, 2012, APPL PSYCH MEAS, V36, P548, DOI 10.1177/0146621612456591","Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545",14
"Lord, FM, 2008, STAT THEORIES MENT","Mislevy, RL, 1997, BILOG 3 ITEM ANAL TE",14
"Lord, FM, 2008, STAT THEORIES MENT","R Development Core, TEAM, 2017, LANG ENV STAT COMP",14
"Lord, FM, 2008, STAT THEORIES MENT","Wilkinson, L, 1999, AM PSYCHOL, V54, P594, DOI 10.1037/0003-066X.54.8.594",14
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Segall, DO, 1996, PSYCHOMETRIKA, V61, P331, DOI 10.1007/BF02294343",14
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Zwick, R, 1993, J EDUC MEAS, V30, P233, DOI 10.1111/J.1745-3984.1993.TB00425.X",14
"Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535","Tatsuoka, KK, 1995, COGNITIVELY DIAGNOST, P327",14
"Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272","van der Linden, WJ, 2016, HDB MODERN ITEM RESP",14
"Millsap, RE, 1993, APPL PSYCH MEAS, V17, P297, DOI 10.1177/014662169301700401","Thissen, D, 1988, TEST VALIDITY, P147",14
"Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206","Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146",14
"Muthen, LK, 2018, MPLUS 7 USERS GUIDE","Nunnally, JC, 1995, PSYCHOMETRIC THEORY",14
"Muthen, LK, 2018, MPLUS 7 USERS GUIDE","Vandenberg, RJ, 2000, ORGAN RES METHODS, V3, P4, DOI 10.1177/109442810031002",14
"R Core, TEAM, 2019, LANG ENV STAT COMP","SCHWARZ G, 1978, ANN STAT, V6, P461, DOI 10.1214/AOS/1176344136",14
"Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17","Stocking, ML, 1983, APPL PSYCH MEAS, V7, P201, DOI 10.1177/014662168300700208",14
"Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17","Wainer, H, 1987, J EDUC MEAS, V24, P185, DOI 10.1111/J.1745-3984.1987.TB00274.X",14
"Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572","Zieky, M, 1993, DIFFERENTIAL ITEM FU, P337",14
"Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572","Zumbo, BD, 1999, HDB THEORY METHODS D",14
"Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287","von Davier, M, 2007, 0516 ED TEST SERV",14
"Thissen, D, 1989, J EDUC MEAS, V26, P161, DOI 10.1111/J.1745-3984.1989.TB00326.X","Wainer, H, 1995, APPL MEAS EDUC, V8, P157, DOI 10.1207/S15324818AME0802_4",14
"Thissen, D, 1993, DIFFERENTIAL ITEM FU, P67","Wang, WC, 2003, APPL PSYCH MEAS, V27, P479, DOI 10.1177/0146621603259902",14
"van Krimpen-Stoop, EMLA, 1999, APPL PSYCH MEAS, V23, P327, DOI 10.1177/01466219922031446","Wright, BD, 1979, BEST TEST DESIGN",14
